picname	A (area)	L (length)	W (width)	P (perimeter)	stock (large)	stock (NS)	circularity (P^2/A)		roundness (4A/?L^2)		Ellipticity (L-W)/(L+W)		Form factor (4?A/P^2)		Rectangularity (A/LW)		
	30.91933801	9.916256158	4.507389163	28.64609855			26.53999131		0.400354608		0.375		0.473488121		0.691763103		
	37.01955883	10.3546798	5.044334975	36.04428448			35.09470358		0.439610453		0.344849648		0.358070288		0.708746042		
	30.97502973	9.261083744	4.881773399	27.40413919			24.24491119		0.45983098		0.309648206		0.518309616		0.685128926		
	33.80114781	10.04926108	5	30.15359327			26.89965418		0.426160612		0.335515548		0.46715733		0.672709118		
	33.04748963	10.27093596	4.798029557	33.30319733			33.56088359		0.398867408		0.363190585		0.374435035		0.670603066		
	42.15568201	11.1182266	5.226600985	31.71852549			23.86546276		0.434205376		0.360458107		0.526550469		0.72543959		
	31.49054818	10.32019704	4.433497537	31.21008606			30.93212181		0.376456119		0.398998331		0.406256341		0.688249271		
	39.27898032	11.14778325	5.128078818	34.88745902			30.98692447		0.402432727		0.369854722		0.405537846		0.687095331		
	43.25454391	11.28571429	5.591133005	34.36954234			27.30962655		0.432398076		0.337419731		0.460144359		0.685492744		
	33.14083089	10.5320197	4.561576355	32.39448779			31.66495259		0.380408476		0.395561358		0.396854237		0.689821587		
	25.9083938	8.517241379	4.270935961	25.62484875			25.34440687		0.454729048		0.332049307		0.495824214		0.712227068		
	24.14209275	8.472906404	4.118226601	24.2526045			24.36362212		0.428173924		0.345852895		0.51578417		0.691882372		
	25.73604067	8.738916256	4.21182266	26.62770952			27.55027175		0.429078445		0.349562571		0.456125106		0.699220383		
	23.01730205	8.201970443	3.921182266	23.81663147			24.64371946		0.435640387		0.353108492		0.509921834		0.715680505		
	24.40350409	8.719211823	3.945812808	25.33172256			26.29524701		0.408703026		0.376896149		0.477895135		0.709313923		
	24.07722828	8.334975369	4.093596059	25.4032837			26.80237175		0.441273622		0.341260404		0.468852933		0.705662735		
	27.21018467	9.02955665	4.133004926	25.60650949			24.09734943		0.424921547		0.372005988		0.52148352		0.729120215		
	29.31818292	9.290640394	4.463054187	27.86381263			26.48158846		0.432469882		0.351002865		0.474532358		0.707064837		
	41.42955422	11.66502463	5.15270936	34.52181667			28.76583754		0.387658275		0.387229057		0.436850504		0.689269329		
	39.08811182	10.77339901	5.315270936	33.18777143			28.1780859		0.428794613		0.339252909		0.445962535		0.682600403		
	45.09042928	11.85221675	5.45320197	34.95222348			27.09350844		0.40869123		0.369769428		0.463814815		0.697642937		
	26.66159091	8.778325123	4.192118227	25.98036344			25.31654193		0.440527329		0.353589062		0.496369949		0.724504148		
	31.12994734	9.950738916	4.615763547	29.81404188			28.55376154		0.400292858		0.366249577		0.440095103		0.677765567		
	35.98502754	10.94581281	4.768472906	31.52523687			27.61816865		0.382415886		0.393103448		0.455003761		0.689436867		
	29.30409619	9.408866995	4.512315271	28.23345096			27.20192248		0.421467209		0.3517339		0.461966268		0.6902264		
	28.38333859	9.39408867	4.36453202	28.17512278			27.96843441		0.409509788		0.365556749		0.449305472		0.69226303		
	47.95170958	12.54679803	5.443349754	35.85832282			26.81487953		0.387836251		0.394852136		0.468634237		0.70210966		
	47.95170958	12.54679803	5.443349754	35.85832282			26.81487953		0.387836251		0.394852136		0.468634237		0.70210966		
	0.000194132	0.009852217	0.024630542	0.057422927			16.98528137		2.546479089		-0.428571429		0.739838825		0.8		
	2765.063845	11.15763547	5.522167488	2889.630727			3019.809381		28.27944913		0.337861784		0.004161313		44.87695904		
	45.44057123	11.7044335	5.689655172	39.11707182			33.67354912		0.422331139		0.345794393		0.373182244		0.68235038		
	25.22663739	8.866995074	4.177339901	26.99854312			28.89490658		0.408523034		0.359516616		0.43489916		0.681056407		
	30.8884467	9.660098522	4.502463054	29.2699493			27.73625817		0.421447106		0.364173913		0.453066543		0.710173325		
	47.02901065	12.591133	5.374384236	36.16838794			27.81585808		0.377699438		0.401700027		0.451770015		0.694980019		
	3090.18303	9.295566502	4.773399015	2840.717688			2611.391268		45.53471235		0.321428571		0.004812136		69.64350209		
	50.57197457	11.96551724	6.167487685	39.05882858			30.16674953		0.449735402		0.319750068		0.416563627		0.685283291		
	39.4675435	11.19704433	5.162561576	32.91149921			27.44449449		0.400814495		0.3688648		0.457883115		0.68276532		
